store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Firestone Complete Auto Care,301591,5660 LAVON DR,,GARLAND,TX,75040-3124,United States,9725303719,32.966535,-96.609543,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 07:00 PM; Sun:09:00 AM - 05:00 PM; ,,0
Firestone Complete Auto Care,306095,10014 MONROE RD,,MATTHEWS,NC,28105-5461,United States,7047084454,35.13345,-80.7362,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 06:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Firestone Complete Auto Care,300480,7806 STEVENS MILL RD,,MATTHEWS,NC,28104-2930,United States,7048822341,35.140971,-80.625267,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 06:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
WHEEL WORKS 8252,301592,1050 MARINA BLVD,,SAN LEANDRO,CA,94577-3437,United States,5103577100,37.712975,-122.160715,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 06:00 PM; Sun:09:00 AM - 05:00 PM; ,,0
WHEEL WORKS 8229,240718,15604 HESPERIAN BLVD,,SAN LORENZO,CA,94580-1655,United States,5104815800,37.686027,-122.129892,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 06:00 PM; Sun:09:00 AM - 05:00 PM; ,,0
Firestone Complete Auto Care,11223,3604 LAKEVIEW PKWY,,ROWLETT,TX,75088-4091,United States,9724756025,32.907497,-96.566594,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 07:00 PM; Sun:09:00 AM - 05:00 PM; ,,0
Firestone Complete Auto Care,29300,1325 W BUCKINGHAM RD,,GARLAND,TX,75040-4535,United States,9725306231,32.931135,-96.647362,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 07:00 PM; Sun:09:00 AM - 05:00 PM; ,,0
Tire Engineers - Summerfield Waxhaw,785464,27299 Waxhaw Pkwy,,Waxhaw,NC,28173-7237,United States,2059435804,34.93306,-80.74705,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 05:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Firestone Complete Auto Care,12599,4238 BROADWAY,,OAKLAND,CA,94611-5130,United States,5106539680,37.830598,-122.254711,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 06:00 PM; Sun:09:00 AM - 05:00 PM; ,,0
Firestone Complete Auto Care,19801,503 NORTHGATE MALL,,CHATTANOOGA,TN,37415-6944,United States,4238771258,35.133235,-85.242416,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 06:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Brownies Tire Service,780317,640 State HWY 28 West,,Glenwood,MN,56334-8816,United States,3206343303,45.6528167926298,-95.3994800686542,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 05:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Firestone Complete Auto Care,592021,21800 TOWNCENTER PLZ,,STERLING,VA,20164-1824,United States,5714347566,39.012664,-77.371748,Mon:07:00 AM - 07:00 PM; Tue:07:00 AM - 07:00 PM; Wed:07:00 AM - 07:00 PM; Thu:07:00 AM - 07:00 PM; Fri:07:00 AM - 07:00 PM; Sat:07:00 AM - 06:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
