store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Hendrick Automotive Group,,6000 Monroe Road,,Charlotte,NC,28212,United States,,,,,,0
Hendrick NISSAN Kansas City,,8400 Shawnee Mission Parkway,,  Merriam,KS,66202,United States,,,,,,0
Hendrick Automotive Group,,6000 Monroe Road,,Charlotte,NC,28212,United States,,,,,,0
Hendrick Porsche,,6800 E Independence Blvd,,Charlotte,NC,28227,United States,,,,,,0
Porsche Southpoint,,122 Kentington Drive,,Durham,NC,27713,United States,,,,,,0
Hendrick Autoguard Inc.,,6030 E Independence Blvd,,Charlotte,NC,28212,United States,,,,,,0
Hendrick Automotive Group,,6000 Monroe Road,,Charlotte,NC,28212,United States,,,,,,0
Hendrick Cars Charlotte,,9029 South Blvd.,,Charlotte,NC,28273,United States,,,,,,0
Hendrick Cars Concord,,7610 Hendrick Auto Plaza NW,,Concord,NC,28027,United States,,,,,,0
Hendrick Cars Hickory,,1171 Lenoir Rhyne Blvd SE,,Hickory,NC,28602,United States,,,,,,0
Hendrick Cars North Charleston,,8355 Rivers Avenue,,North Charleston,SC,29406,United States,,,,,,0
Hendrick Pre-Owned Cary,,70 Mackenan Dr,,Cary,NC,27511,United States,,,,,,0
Hendrickcars Chapel Hill,,1810 Durham - Chapel Hill Blvd.,,Chapel Hill,NC,27514,United States,,,,,,0
Nationwide Hendrick,,6000 Monroe Rd,,Charlote,NC,28212,United States,,,,,,0
Charleston Chrysler Dodge Jeep Ram,,6000 Monroe Rd,,Charlotte,NC,28212,United States,,,,,,0
Hendrick Automotive Group,,6000 Monroe Road,,Charlotte,NC,28212,United States,,,,,,0
Hendrick Chrysler Dodge Jeep Ram,,1624 Montgomery Highway,,Birmingham,AL,35216,United States,,,,,,0
Hendrick Chrysler Dodge Jeep Ram of Concord,,7630 Hendrick Auto Plaza NW,,Concord,NC,28027,United States,,,,,,0
Hendrick Dodge,,81 MacKenan Drive,,Cary,NC,27511,United States,,,,,,0
Rick Hendrick Chrysler Dodge Jeep RAM Duluth,,2473 Pleasant Hill Rd,,Duluth,GA,30096,United States,,,,,,0
Rick Hendrick Chrysler Dodge Jeep RAM Duluth,,6000 Monroe Rd,,CHARLOTTE,NC,28212,United States,,,,,,0
Rick Hendrick Dodge Chrysler Jeep RAM,,1468 Savannah Highway,,Charleston,SC,29407,United States,,,,,,0
