store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"North Oakville, Oakville, ON",1024,201 Oak Park Drive ,,Oakville,ON,L6H 6M3,Canada,,43.48408,-79.72124,,,0
"Simcoe, ON - New! Online Shopping Now Available",2818,125 Queensway East ,,Simcoe,ON,N3Y 4M5,Canada,,42.85042,-80.29574,,,0
"8th Street East, Saskatoon, SK",1535,2901-8th Street East ,,Saskatoon,SK,S7H 0V4,Canada,,52.11579,-106.6121,,,0
"Duncan, BC",1563,291 Cowichan Way ,,Duncan,BC,V9L 4T8,Canada,,48.77389,-123.7029,,,0
"Dufferin & Steeles, Toronto, ON",1033,51 Gerry Fitzgerald Dr ,,Toronto,ON,M3J 3N4,Canada,,43.78542,-79.47181,,,0
Calgary Huntington,1545,7020 4th Street NW ,,Calgary,AB,T2K 1C4,Canada,,51.11624,-114.0698,,,0
"Winkler, MB",1510,175 CARGILL Road ,,Winkler,MB,R6W 4A9,Canada,,49.1862,-97.93052,,,0
"Yorkton, SK",1582,206 Broadway St. East ,,Yorkton,SK,S3N 3K4,Canada,,51.20868,-102.4521,,,0
"Marine Drive, Vancouver, BC",1517,350 S.E. Marine Dr ,,Vancouver,BC,V5X 2S5,Canada,,49.20974,-123.1002,,,0
"2332 160th St, Surrey",1551,2332 160th St ,,Surrey,BC,V3S 9N6,Canada,,49.043913,-122.778548,,,0
